type,value
GRADUADO,4.026086957
GRADUADO,4.53
GRADUADO,4.112121212
GRADUADO,4.315625
GRADUADO,4.132352941
GRADUADO,4.4375
GRADUADO,4.503125
GRADUADO,4.346875
GRADUADO,4.33125
GRADUADO,4.615625
GRADUADO,4.46875
GRADUADO,4.434375
GRADUADO,4.337662338
GRADUADO,4.181818182
GRADUADO,4.2625
GRADUADO,4.596875
GRADUADO,4.203125
GRADUADO,4.246875
GRADUADO,4.35
GRADUADO,4.6875
GRADUADO,4.20625
GRADUADO,4.2625
GRADUADO,4.409375
GRADUADO,4.51875
GRADUADO,3.865714286
GRADUADO,4.243650794
GRADUADO,3.933333333
GRADUADO,3.728
GRADUADO,4.214285714
GRADUADO,4.278125
GRADUADO,4.642857143
GRADUADO,4.225
GRADUADO,4.36875
GRADUADO,4.528125
GRADUADO,4.487804878
GRADUADO,4.191666667
GRADUADO,4.2625
GRADUADO,4.240540541
GRADUADO,3.922222222
GRADUADO,4.245
GRADUADO,4.180555556
GRADUADO,4.436111111
GRADUADO,4.338888889
GRADUADO,3.890909091
GRADUADO,4.263157895
GRADUADO,4.518181818
GRADUADO,4.414814815
GRADUADO,3.997297297
GRADUADO,4.525
GRADUADO,4.408333333
GRADUADO,4.463888889
GRADUADO,4.116666667
GRADUADO,4.077083333
GRADUADO,4.530555556
GRADUADO,4.16
GRADUADO,4.368421053
GRADUADO,4.37804878
GRADUADO,4.355
GRADUADO,4.144186047
GRADUADO,3.972727273
GRADUADO,3.788095238
GRADUADO,4.160465116
GRADUADO,3.744444444
GRADUADO,3.815217391
GRADUADO,4.395
GRADUADO,4.240909091
GRADUADO,4.04
GRADUADO,4.545
GRADUADO,4.231707317
GRADUADO,3.939130435
GRADUADO,4.345
GRADUADO,4.63
GRADUADO,4.445454545
GRADUADO,4.2275
GRADUADO,4.320930233
GRADUADO,4.5625
GRADUADO,3.712765957
GRADUADO,4.4925
GRADUADO,4.111363636
GRADUADO,4.2475
GRADUADO,4.2
GRADUADO,4.22
GRADUADO,4.05952381
GRADUADO,4.295
GRADUADO,4.565
GRADUADO,4.21
GRADUADO,4.027272727
GRADUADO,4.144186047
GRADUADO,3.852380952
GRADUADO,4.61
GRADUADO,4.625
GRADUADO,3.683673469
GRADUADO,3.878571429
GRADUADO,4.429545455
GRADUADO,4.002325581
GRADUADO,4.039130435
GRADUADO,4.482608696
GRADUADO,4.497222222
GRADUADO,4.23
GRADUADO,4.2475
GRADUADO,4.5375
GRADUADO,4.570731707
GRADUADO,3.663265306
GRADUADO,4.41627907
GRADUADO,4.215
GRADUADO,4.18372093
GRADUADO,4.184090909
GRADUADO,4.256818182
GRADUADO,3.695918367
GRADUADO,4.047826087
GRADUADO,4.006122449
GRADUADO,4.277777778
GRADUADO,4.324137931
GRADUADO,4.2225
GRADUADO,4.252272727
GRADUADO,4.2275
GRADUADO,4.4375
GRADUADO,4.2375
GRADUADO,4.004878049
GRADUADO,4.2225
GRADUADO,4.005
GRADUADO,4.025
GRADUADO,4.376315789
GRADUADO,4.521568627
GRADUADO,4.345454545
GRADUADO,4.442857143
GRADUADO,4.312962963
GRADUADO,4.377586207
GRADUADO,4.384210526
GRADUADO,4.15
GRADUADO,3.816949153
GRADUADO,4.601754386
GRADUADO,4.458695652
GRADUADO,4.433333333
GRADUADO,4.395
GRADUADO,4.446428571
GRADUADO,4.067741935
GRADUADO,4.425
GRADUADO,4.394642857
GRADUADO,4.094871795
GRADUADO,4.145945946
GRADUADO,4.128205128
GRADUADO,4.569444444
GRADUADO,4.416666667
GRADUADO,4.309230769
GRADUADO,4.194736842
GRADUADO,4.298305085
GRADUADO,4.164912281
GRADUADO,4.138636364
GRADUADO,4.320930233
GRADUADO,4.048979592
GRADUADO,4.409803922
GRADUADO,4.176744186
GRADUADO,4.230357143
GRADUADO,3.827118644
GRADUADO,3.840425532
GRADUADO,4.167647059
GRADUADO,4.2975
GRADUADO,4.305
GRADUADO,4.266666667
GRADUADO,4.265
GRADUADO,4.38
GRADUADO,3.729230769
GRADUADO,4.365909091
GRADUADO,4.315
GRADUADO,4.131372549
GRADUADO,3.896610169
GRADUADO,4.215384615
GRADUADO,4.486046512
GRADUADO,4.404545455
GRADUADO,4.398113208
GRADUADO,4.519565217
GRADUADO,4.425581395
GRADUADO,3.9625
GRADUADO,3.9525
GRADUADO,4.43
GRADUADO,4.2325
GRADUADO,4.437777778
GRADUADO,4.573913043
GRADUADO,4.025
GRADUADO,3.727272727
GRADUADO,4.007142857
GRADUADO,3.893478261
GRADUADO,3.926666667
GRADUADO,4.171428571
GRADUADO,4.34375
GRADUADO,4.020754717
GRADUADO,4.177272727
GRADUADO,4.376785714
GRADUADO,4.464705882
GRADUADO,4.217647059
