type,value
GRADUADO,4.0
GRADUADO,4.5
GRADUADO,4.1
GRADUADO,4.3
GRADUADO,4.1
GRADUADO,4.4
GRADUADO,4.5
GRADUADO,4.3
GRADUADO,4.3
GRADUADO,4.6
GRADUADO,4.5
GRADUADO,4.4
GRADUADO,4.3
GRADUADO,4.2
GRADUADO,4.3
GRADUADO,4.6
GRADUADO,4.2
GRADUADO,4.2
GRADUADO,4.3
GRADUADO,4.7
GRADUADO,4.2
GRADUADO,4.3
GRADUADO,4.4
GRADUADO,4.5
GRADUADO,3.9
GRADUADO,4.2
GRADUADO,3.9
GRADUADO,3.7
GRADUADO,4.2
GRADUADO,4.3
GRADUADO,4.6
GRADUADO,4.2
GRADUADO,4.4
GRADUADO,4.5
GRADUADO,4.5
GRADUADO,4.2
GRADUADO,4.3
GRADUADO,4.2
GRADUADO,3.9
GRADUADO,4.2
GRADUADO,4.2
GRADUADO,4.4
GRADUADO,4.3
GRADUADO,3.9
GRADUADO,4.3
GRADUADO,4.5
GRADUADO,4.4
GRADUADO,4.0
GRADUADO,4.5
GRADUADO,4.4
GRADUADO,4.5
GRADUADO,4.1
GRADUADO,4.1
GRADUADO,4.5
GRADUADO,4.2
GRADUADO,4.4
GRADUADO,4.4
GRADUADO,4.4
GRADUADO,4.1
GRADUADO,4.0
GRADUADO,3.8
GRADUADO,4.2
GRADUADO,3.7
GRADUADO,3.8
GRADUADO,4.4
GRADUADO,4.2
GRADUADO,4.0
GRADUADO,4.5
GRADUADO,4.2
GRADUADO,3.9
GRADUADO,4.3
GRADUADO,4.6
GRADUADO,4.4
GRADUADO,4.2
GRADUADO,4.3
GRADUADO,4.6
GRADUADO,3.7
GRADUADO,4.5
GRADUADO,4.1
GRADUADO,4.2
GRADUADO,4.2
GRADUADO,4.2
GRADUADO,4.1
GRADUADO,4.3
GRADUADO,4.6
GRADUADO,4.2
GRADUADO,4.0
GRADUADO,4.1
GRADUADO,3.9
GRADUADO,4.6
GRADUADO,4.6
GRADUADO,3.7
GRADUADO,3.9
GRADUADO,4.4
